experiment	experiment_id	condition	condition_id	item_id	text	question	response_true	response_distractors
local_coherence	1	adverb_high	3	72	Kim will display the photos she took next month, but she won't show all of them.	Will Kim show all the photos?	no	yes
local_coherence	1	adverb_high	3	70	John hired the clerk he will promote last month, but he fired another employee.	Did John fire an employee?	yes	no
local_coherence	1	adverb_high	3	69	Jim painted the picture he will display last month, but he isn't happy with it.	Did Jim paint the picture?	yes	no
local_coherence	1	adverb_high	3	68	Cathy will burn the wood she gathered next week, but she will save some of it.	Will Cathy burn all the wood?	no	yes
local_coherence	1	adverb_high	3	67	Mark will answer the email he got next week, but he doesn't know what to write.	Will Mark answer the email?	yes	no
local_coherence	1	adverb_high	3	66	Chris cleaned the bookcase he will sell last week, but it is still very dusty.	Did Chris clean the bookcase?	yes	no
local_coherence	1	adverb_high	3	65	Susan bought the wine she will drink last week, but she didn't buy any cheese.	Did Susan buy any cheese?	no	yes
local_coherence	1	adverb_low	4	56	Lisa will change the plans she made last week, but she won't cancel any of them.	Will Lisa change her plans?	yes	no
local_coherence	1	adverb_low	4	55	Tom will plant the tree he bought last week, but he isn't sure where to put it.	Does Tom know where to put the tree?	no	yes
local_coherence	1	adverb_low	4	54	Joseph brewed the beer he will serve next week, but it is not very tasty.	Will Joseph serve the beer?	yes	no
local_coherence	1	adverb_low	4	53	Jane prepared the lecture she will give next week, but still needs to review it.	Did Jane review the lecture?	no	yes
local_coherence	1	adverb_low	4	52	Sue insulted the candidate she will debate tomorrow, but she wishes she hadn't.	Did Sue insult the candidate?	yes	no
local_coherence	1	adverb_low	4	51	David caught the fish he will cook tomorrow, but it is not his favorite kind.	Will David cook the fish?	yes	no
local_coherence	1	adverb_low	4	50	Robert will meet the friend he phoned yesterday, but he doesn't want to.	Does Robert want to meet his friend?	no	yes
local_coherence	1	adverb_low	4	49	Anne will serve the apples she picked yesterday, but she won't serve the plums.	Will Anne serve the plums?	no	yes
local_coherence	1	and_no_comma	1	48	The witness identified the man and his wife ran away from the police station.	Did the witness run away from the police station?	no	yes
local_coherence	1	and_no_comma	1	47	Jenny talked to the reporter and the photographer took pictures of the scene.	Did Jenny talk to the photographer?	no	yes
local_coherence	1	and_no_comma	1	46	The robber shot the jeweler and the salesman reported the crime to the police.	Did the robber shoot the jeweler?	yes	no
local_coherence	1	and_no_comma	1	45	The journalist criticized Nick and Sam called the newspaper to complain.	Did Sam call the newspaper?	yes	no
local_coherence	1	and_no_comma	1	43	Sam hired the plumber and the carpenter ordered the materials for the house.	Did the carpenter order materials?	yes	no
local_coherence	1	and_no_comma	1	42	The police arrested the burglar and his brother phoned a lawyer for help.	Was the burglar arrested?	yes	no
local_coherence	1	and_no_comma	1	41	The knight greeted the king and the queen waved to her people at the feast.	Did the king wave to people at the feast?	no	yes
local_coherence	1	and_comma	2	32	The producer replaced the actor, and the actress quit the movie after the fight.	Did the producer replace the actor?	yes	no
local_coherence	1	and_comma	2	31	The audience applauded the guitarist, and the band cheered for him very loudly.	Did the audience applaud the guitarist?	yes	no
local_coherence	1	and_comma	2	30	Jim listened to the pianist, and the singer watched the organist at the concert.	Did the singer listen to the pianist?	no	yes
local_coherence	1	and_comma	2	29	The ranger gave matches to the camper, and his friend made a fire by the tent.	Did the camper make a fire?	no	yes
local_coherence	1	and_comma	2	28	The little girl fed her pet cat, and her dog wanted a can of food, too.	Did the little girl feed her dog?	no	yes
local_coherence	1	and_comma	2	27	The tourist photographed the swimmer, and the runner got ready for the race.	Did the tourist photograph the runner?	no	yes
local_coherence	1	and_comma	2	26	The swimmer disappointed her coach, and her mother tried to console her.	Did the swimmer's mother try to console her?	yes	no
local_coherence	1	and_comma	2	25	The nurse examined the mother, and the child played quietly in the corner.	Did the child play quietly?	yes	no
local_coherence	1	relative_high	5	24	The niece of the butler who scolded herself for losing the key was very upset.	Was the butler very upset?	no	yes
local_coherence	1	relative_high	5	23	The aunt of the waiter who trained herself to cook wanted to own a restaurant.	Did the waiter want to own a restaurant?	no	yes
local_coherence	1	relative_high	5	22	The sister of the boy who taught herself advanced mathematics was very smart.	Was the sister of the boy very smart?	yes	no
local_coherence	1	relative_high	5	21	The daughter of the king who devoted herself to the kingdom was never emotional.	Was the daughter of the king emotional?	no	yes
local_coherence	1	relative_high	5	20	The niece of the fisherman who got herself a sailboat learned to sail.	Did the niece of the fisherman learn to sail?	yes	no
local_coherence	1	relative_high	5	19	The grandma of the policeman who educated herself at night became a teacher.	Did the grandma of the policeman become a teacher?	yes	no
local_coherence	1	relative_high	5	18	The uncle of the girl who prepared himself for the race was a great athlete.	Was the uncle of the girl a great athlete?	yes	no
local_coherence	1	relative_high	5	17	The nephew of the queen who praised himself all the time was very rude.	Was the queen very rude?	no	yes
local_coherence	1	relative_low	6	8	The aunt of the schoolboy who hurt himself was concerned about the injury.	Was the schoolboy concerned about the injury?	no	yes
local_coherence	1	relative_low	6	7	The grandma of the fireman who criticized himself far too often was anxious.	Was the fireman anxious?	no	yes
local_coherence	1	relative_low	6	6	The grandfather of the woman who killed herself last summer had been to prison.	Had the grandfather of the woman been to prison?	yes	no
local_coherence	1	relative_low	6	5	The brother of the schoolgirl who burned herself was usually very careful.	Was the brother of the schoolgirl usually careful?	yes	no
local_coherence	1	adverb_high	3	71	Bob will complete the project he started next month, but Fred won't finish his.	Will Fred finish his project?	no	yes
local_coherence	1	relative_low	6	4	The son of the lady who politely introduced herself was popular at the party.	Was the lady popular at the party?	no	yes
local_coherence	1	relative_low	6	3	The uncle of the waitress who hurt herself was shocked by the accident.	Was the waitress shocked by the accident?	no	yes
local_coherence	1	relative_low	6	1	The son of the actress who shot herself on the set was under investigation.	Was the son of the actress under investigation?	yes	no
local_coherence	1	and_no_comma	1	44	The actress yelled at the cameraman and the director hurried out of the room.	Did the cameraman hurry out of the room?	no	yes
local_coherence	1	relative_low	6	2	The brother of the bride who embarrassed herself at the wedding felt ashamed.	Was the brother of the bride ashamed?	yes	no
local_coherence	1	filler	8	134	The children of the rich man were spoiled, but they were charming and handsome.	Were the children of the rich man spoiled?	yes	no
local_coherence	1	filler	8	133	Yesterday, the wife of the politician discussed health care with old people.	Did the politician discuss health care?	no	yes
local_coherence	1	filler	8	132	The boyfriend of the model was killed in an accident while skiing last week.	Did the boyfriend of the model go skiing?	yes	no
local_coherence	1	filler	8	131	The cute girl who was on the cover of the magazine became a famous doctor.	Did the cute girl become a doctor?	yes	no
local_coherence	1	filler	8	130	The writer of the novels thought himself to be a genius, but he wasn't.	Was the writer a genius?	no	yes
local_coherence	1	filler	8	129	Todd wanted to be a barber, but his shaky hands prevented him from becoming one.	Did Todd want to be an actor?	no	yes
local_coherence	1	filler	8	128	Julie dated Adam and Andy, but she married Jeff in Las Vegas last month.	Did Julie marry Adam?	no	yes
local_coherence	1	filler	8	127	The student who was running out of money gave himself a haircut last week.	Did the student cut his hair?	yes	no
