experiment	experiment_id	condition	condition_id	item_id	text	question	response_true	response_distractors
local_coherence	1	adverb_high	3	 72	Kim will display the photos she took next month, but she won't show all of them.	Will Kim show all the photos?	no	yes
local_coherence	1	adverb_high	3	 70	John hired the clerk he will promote last month, but he fired another employee.	Did John fire an employee?	yes	no
local_coherence	1	adverb_high	3	 69	Jim painted the picture he will display last month, but he isn't happy with it.	Did Jim paint the picture?	yes	no
local_coherence	1	adverb_high	3	 68	Cathy will burn the wood she gathered next week, but she will save some of it.	Will Cathy burn all the wood?	no	yes
local_coherence	1	adverb_high	3	 67	Mark will answer the email he got next week, but he doesn't know what to write.	Will Mark answer the email?	yes	no
local_coherence	1	adverb_high	3	 66	Chris cleaned the bookcase he will sell last week, but it is still very dusty.	Did Chris clean the bookcase?	yes	no
local_coherence	1	adverb_high	3	 65	Susan bought the wine she will drink last week, but she didn't buy any cheese.	Did Susan buy any cheese?	no	yes
local_coherence	1	adverb_high	3	 64	Mike watered the flower he will sell yesterday, but he forgot to water the bush.	Did Mike forget to water the flowers?	no	yes
local_coherence	1	adverb_high	3	 63	Mary called the applicant she will interview yesterday, but there was no answer.	Did the applicant answer?	no	yes
local_coherence	1	adverb_high	3	 62	James will fix the car he drove tomorrow, but he will need some help.	Did James drive a car?	yes	no
local_coherence	1	adverb_high	3	 61	Linda will wear the sweater she washed tomorrow, but she won't wear her skirt.	Will Linda wear her skirt?	no	yes
local_coherence	1	adverb_low	4	 60	Amy will visit the man she worked with last month, but she is nervous about it.	Is Amy nervous?	yes	no
local_coherence	1	adverb_low	4	 59	Paul will marry the woman he just met last month, but the wedding will be small.	Will Paul have a small wedding?	yes	no
local_coherence	1	adverb_low	4	 58	Dan wrote the speech he will deliver next month, but he hasn't practiced it yet.	Has Dan practiced the speech?	no	yes
local_coherence	1	adverb_low	4	 57	Jeff planned the party he will hold next month, but he hasn't sent invitations.	Has Jeff send invitations?	no	yes
local_coherence	1	adverb_low	4	 56	Lisa will change the plans she made last week, but she won't cancel any of them.	Will Lisa change her plans?	yes	no
local_coherence	1	adverb_low	4	 55	Tom will plant the tree he bought last week, but he isn't sure where to put it.	Does Tom know where to put the tree?	no	yes
local_coherence	1	adverb_low	4	 54	Joseph brewed the beer he will serve next week, but it is not very tasty.	Will Joseph serve the beer?	yes	no
local_coherence	1	adverb_low	4	 53	Jane prepared the lecture she will give next week, but still needs to review it.	Did Jane review the lecture?	no	yes
local_coherence	1	adverb_low	4	 52	Sue insulted the candidate she will debate tomorrow, but she wishes she hadn't.	Did Sue insult the candidate?	yes	no
local_coherence	1	adverb_low	4	 51	David caught the fish he will cook tomorrow, but it is not his favorite kind.	Will David cook the fish?	yes	no
local_coherence	1	adverb_low	4	 50	Robert will meet the friend he phoned yesterday, but he doesn't want to.	Does Robert want to meet his friend?	no	yes
local_coherence	1	adverb_low	4	 49	Anne will serve the apples she picked yesterday, but she won't serve the plums.	Will Anne serve the plums?	no	yes
local_coherence	1	and_no_comma	1	 48	The witness identified the man and his wife ran away from the police station.	Did the witness run away from the police station?	no	yes
local_coherence	1	and_no_comma	1	 47	Jenny talked to the reporter and the photographer took pictures of the scene.	Did Jenny talk to the photographer?	no	yes
local_coherence	1	and_no_comma	1	 46	The robber shot the jeweler and the salesman reported the crime to the police.	Did the robber shoot the jeweler?	yes	no
local_coherence	1	and_no_comma	1	 45	The journalist criticized Nick and Sam called the newspaper to complain.	Did Sam call the newspaper?	yes	no
local_coherence	1	and_no_comma	1	 43	Sam hired the plumber and the carpenter ordered the materials for the house.	Did the carpenter order materials?	yes	no
local_coherence	1	and_no_comma	1	 42	The police arrested the burglar and his brother phoned a lawyer for help.	Was the burglar arrested?	yes	no
local_coherence	1	and_no_comma	1	 41	The knight greeted the king and the queen waved to her people at the feast.	Did the king wave to people at the feast?	no	yes
local_coherence	1	and_no_comma	1	 40	The customer complained about the waiter and the chef gave him a free dessert.	Did the customer get a free dessert?	yes	no
local_coherence	1	and_no_comma	1	 39	The woman could not find Bill and his girlfriend became nervous and upset.	Could the woman find Bill?	no	yes
local_coherence	1	and_no_comma	1	 38	Bobby yelled at the teacher and the principal asked his parents for a meeting.	Did Bobby yell at the teacher?	yes	no
local_coherence	1	and_no_comma	1	 37	The teacher praised the girl and her family was proud of her good grades.	Was the girl's family proud of her grades?	yes	no
local_coherence	1	and_comma	2	 36	The crowd cheered for the model, and the designer took a bow after the show.	Did the designer take a bow?	yes	no
local_coherence	1	and_comma	2	 35	The juggler entertained the children, and their parents drank wine at the party.	Did the juggler drink wine?	no	yes
local_coherence	1	and_comma	2	 34	The woman dressed her baby, and her son got his clothes from the dresser.	Did the women dress her son?	no	yes
local_coherence	1	and_comma	2	 33	Diane hugged her boyfriend, and her friend felt uncomfortable watching them.	Did Diane's friend feel uncomfortable?	yes	no
local_coherence	1	and_comma	2	 32	The producer replaced the actor, and the actress quit the movie after the fight.	Did the producer replace the actor?	yes	no
local_coherence	1	and_comma	2	 31	The audience applauded the guitarist, and the band cheered for him very loudly.	Did the audience applaud the guitarist?	yes	no
local_coherence	1	and_comma	2	 30	Jim listened to the pianist, and the singer watched the organist at the concert.	Did the singer listen to the pianist?	no	yes
local_coherence	1	and_comma	2	 29	The ranger gave matches to the camper, and his friend made a fire by the tent.	Did the camper make a fire?	no	yes
local_coherence	1	and_comma	2	 28	The little girl fed her pet cat, and her dog wanted a can of food, too.	Did the little girl feed her dog?	no	yes
local_coherence	1	and_comma	2	 27	The tourist photographed the swimmer, and the runner got ready for the race.	Did the tourist photograph the runner?	no	yes
local_coherence	1	and_comma	2	 26	The swimmer disappointed her coach, and her mother tried to console her.	Did the swimmer’s mother try to console her?	yes	no
local_coherence	1	and_comma	2	 25	The nurse examined the mother, and the child played quietly in the corner.	Did the child play quietly?	yes	no
local_coherence	1	relative_high	5	 24	The niece of the butler who scolded herself for losing the key was very upset.	Was the butler very upset?	no	yes
local_coherence	1	relative_high	5	 23	The aunt of the waiter who trained herself to cook wanted to own a restaurant.	Did the waiter want to own a restaurant?	no	yes
local_coherence	1	relative_high	5	 22	The sister of the boy who taught herself advanced mathematics was very smart.	Was the sister of the boy very smart?	yes	no
local_coherence	1	relative_high	5	 21	The daughter of the king who devoted herself to the kingdom was never emotional.	Was the daughter of the king emotional?	no	yes
local_coherence	1	relative_high	5	 20	The niece of the fisherman who got herself a sailboat learned to sail.	Did the niece of the fisherman learn to sail?	yes	no
local_coherence	1	relative_high	5	 19	The grandma of the policeman who educated herself at night became a teacher.	Did the grandma of the policeman become a teacher?	yes	no
local_coherence	1	relative_high	5	 18	The uncle of the girl who prepared himself for the race was a great athlete.	Was the uncle of the girl a great athlete?	yes	no
local_coherence	1	relative_high	5	 17	The nephew of the queen who praised himself all the time was very rude.	Was the queen very rude?	no	yes
local_coherence	1	relative_high	5	 16	The grandfather of the policewoman who treated himself so badly was troubled.	Was the grandfather of the policewoman troubled?	yes	no
local_coherence	1	relative_high	5	 15	The nephew of the maid who cut himself with the knife called the doctor.	Did the nephew of the maid call the doctor?	yes	no
local_coherence	1	relative_high	5	 14	The brother of the ballerina who found himself in a lot of trouble phoned home.	Did the ballerina phone home?	no	yes
local_coherence	1	relative_high	5	 13	The son of the princess who scratched himself in public was awfully embarrassed.	Was the princess embarrassed?	no	yes
local_coherence	1	relative_low	6	 12	The sister of the prince who injured himself falling off a roof was still sad.	Was the prince sad?	no	yes
local_coherence	1	relative_low	6	 11	The daughter of the actor who hated himself for failing always seemed unhappy.	Was the daughter of the actor happy?	no	yes
local_coherence	1	relative_low	6	 10	The sister of the salesman who made a fool of himself at work was very angry.	Was the sister of the salesman angry?	yes	no
local_coherence	1	relative_low	6	 8	The aunt of the schoolboy who hurt himself was concerned about the injury.	Was the schoolboy concerned about the injury?	no	yes
local_coherence	1	relative_low	6	 7	The grandma of the fireman who criticized himself far too often was anxious.	Was the fireman anxious?	no	yes
