experiment,experiment_id,condition,condition_id,item_id,text,region,region_id,question,response_true,response_distractors
local_coherence,1,adverb_high,3,72,Kim will display the photos she took,other,-1,Will Kim show all the photos?,no,yes
local_coherence,1,adverb_high,3,72,"next month,",adverb,0,Will Kim show all the photos?,no,yes
local_coherence,1,adverb_high,3,72,but she won't show,adverb+1,1,Will Kim show all the photos?,no,yes
local_coherence,1,adverb_high,3,72,all of them.,adverb+2,2,Will Kim show all the photos?,no,yes
local_coherence,1,adverb_high,3,70,John hired the clerk he will promote,other,-1,Did John fire an employee?,yes,no
local_coherence,1,adverb_high,3,70,"last month, ",adverb,0,Did John fire an employee?,yes,no
local_coherence,1,adverb_high,3,70,but he fired,adverb+1,1,Did John fire an employee?,yes,no
local_coherence,1,adverb_high,3,70,another employee.,adverb+2,2,Did John fire an employee?,yes,no
local_coherence,1,adverb_high,3,69,Jim painted the picture he will display ,other,-1,Did Jim paint the picture?,yes,no
local_coherence,1,adverb_high,3,69,last month,adverb,0,Did Jim paint the picture?,yes,no
local_coherence,1,adverb_high,3,69,but he isn't happy,adverb+1,1,Did Jim paint the picture?,yes,no
local_coherence,1,adverb_high,3,69,with it.,adverb+2,2,Did Jim paint the picture?,yes,no
local_coherence,1,adverb_high,3,68,Cathy will burn the wood she gathered,other,-1,Will Cathy burn all the wood?,no,yes
local_coherence,1,adverb_high,3,68,"next week,",adverb,0,Will Cathy burn all the wood?,no,yes
local_coherence,1,adverb_high,3,68,but she will save,adverb+1,1,Will Cathy burn all the wood?,no,yes
local_coherence,1,adverb_high,3,68,some of it.,adverb+2,2,Will Cathy burn all the wood?,no,yes
local_coherence,1,adverb_high,3,67,Mark will answer the email he got,other,-1,Will Mark answer the email?,yes,no
local_coherence,1,adverb_high,3,67,"next week,",adverb,0,Will Mark answer the email?,yes,no
local_coherence,1,adverb_high,3,67,but he doesn't know,adverb+1,1,Will Mark answer the email?,yes,no
local_coherence,1,adverb_high,3,67,what to write.,adverb+2,2,Will Mark answer the email?,yes,no
local_coherence,1,adverb_high,3,66,Chris cleaned the bookcase he will sell ,other,-1,Did Chris clean the bookcase?,yes,no
local_coherence,1,adverb_high,3,66,"last week,",adverb,0,Did Chris clean the bookcase?,yes,no
local_coherence,1,adverb_high,3,66,but it is,adverb+1,1,Did Chris clean the bookcase?,yes,no
local_coherence,1,adverb_high,3,66,still very dusty.,adverb+2,2,Did Chris clean the bookcase?,yes,no
local_coherence,1,adverb_high,3,65,Susan bought the wine she will drink,other,-1,Did Susan buy any cheese?,no,yes
local_coherence,1,adverb_high,3,65,"last week, ",adverb,0,Did Susan buy any cheese?,no,yes
local_coherence,1,adverb_high,3,65,but she didn't buy,adverb+1,1,Did Susan buy any cheese?,no,yes
local_coherence,1,adverb_high,3,65,any cheese.,adverb+2,2,Did Susan buy any cheese?,no,yes
local_coherence,1,adverb_high,3,64,Mike watered the flower he will sell,other,-1,Did Mike forget to water the flowers?,no,yes
local_coherence,1,adverb_high,3,64,"yesterday,",adverb,0,Did Mike forget to water the flowers?,no,yes
local_coherence,1,adverb_high,3,64,but he forgot ,adverb+1,1,Did Mike forget to water the flowers?,no,yes
local_coherence,1,adverb_high,3,64,to water the bush.,adverb+2,2,Did Mike forget to water the flowers?,no,yes
local_coherence,1,adverb_high,3,63,Mary called the applicant she will interview,other,-1,Did the applicant answer?,no,yes
local_coherence,1,adverb_high,3,63,"yesterday,",adverb,0,Did the applicant answer?,no,yes
local_coherence,1,adverb_high,3,63,but there was,adverb+1,1,Did the applicant answer?,no,yes
local_coherence,1,adverb_high,3,63,no answer.,adverb+2,2,Did the applicant answer?,no,yes
local_coherence,1,adverb_high,3,62,James will fix the car he drove,other,-1,Did James drive a car?,yes,no
local_coherence,1,adverb_high,3,62,"tomorrow,",adverb,0,Did James drive a car?,yes,no
