	experiment	experiment_id	condition	condition_id	item_id	text	question	response_true	response_distractors
1	provo	2	real	1	1	"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song. "	Will the new watch include a microphone or speaker?	No	Yes
2	provo	2	real	1	2	"Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as ""two patches of intensely bright and white light"" over the sunspots. He jotted a note in his painstaking record. That night there was scarcely a square inch of earth that was not illuminated by aurora. "	Did Richard Carrington observe moon spots?	No	Yes
3	provo	2	real	1	3	"I agree that California's ""three strikes and you're out"" law will be a financial disaster for taxpayers who care about education and other vital services. But it's far from clear that the law can even be credited with a reduction in crime in California. While it's true that crime declined in California last year, crime also dropped nationwide."	Was the “Three Strikes Law” enacted in Arizona?	No	Yes
4	provo	2	real	1	4	"Liza was in a bad temper, for she was mixing the Christmas puddings in the kitchen, and had been drawn from them, with a raisin still on her cheek, by Nana's absurd suspicions. She thought the best way of getting a little quiet was to take Nana to the nursery for a moment, but in custody of course. "	Was Liza preparing for Easter?	No	Yes
5	provo	2	real	1	5	"Mrs. Darling quivered and went to the window. It was securely fastened. She looked out, and the night was peppered with stars. They were crowding round the house, as if curious to see what was to take place there, but she did not notice this, nor that one or two of the smaller ones winked at her. "	Did Mrs. Darling notice the stars outside her window? 	No	Yes
6	provo	2	real	1	6	"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea. He did not know that the crocodile was waiting for him; for we purposely stopped the clock that this knowledge might be spared him: a little mark of respect from us at the end. "	Was Peter carrying a gun?	No	Yes
7	provo	2	real	1	7	"Dorothy didn't know. She looked around her anxiously for some familiar landmark; but everything was strange. Between the branches of the many roads were green meadows and a few shrubs and trees, but she couldn't see the farm-house from which she had just come, or anything she had ever seen before, except the shaggy man and Toto. "	Did Dorothy recognize where she was?	No	Yes
8	provo	2	real	1	8	"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity. Heat reactions usually occur when large amounts of water and/or salt are lost through excessive sweating following strenuous exercise. When the body becomes overheated and cannot eliminate this excess heat, heat exhaustion and heat stroke are possible."	Does heat stroke occur when the body cannot eliminate the excess heat? 	Yes	No
9	provo	2	real	1	9	"It was a forbidding challenge, and it says much for Winstanley's persuasive abilities, not to mention his self-confidence, that the admiralty agreed to fund him. No lighthouse had ever been built out to sea on an isolated rock before. The Eddystone is hard enough to avoid, but landing on it is a separate challenge entirely. "	Did Winstanley plan to build a lighthouse?	Yes	No
10	provo	2	real	1	10	"A clergyman remarked to him, ""The Lord is on our side."" I am not at all concerned about that, replied Mr. Lincoln; ""for I know that the Lord is always on the side of the right. But it is my constant anxiety and prayer that I and this nation should be on the Lord's side."" "	Is this passage about President Washington?	No	Yes
