experiment	experiment_id	condition	condition_id	item_id	text	question	response_true	response_distractors
local_coherence	1	adverb_high	3	64	Mike watered the flower he will sell yesterday, but he forgot to water the bush.	Did Mike forget to water the flowers?	no	yes
local_coherence	1	adverb_high	3	63	Mary called the applicant she will interview yesterday, but there was no answer.	Did the applicant answer?	no	yes
local_coherence	1	adverb_high	3	62	James will fix the car he drove tomorrow, but he will need some help.	Did James drive a car?	yes	no
local_coherence	1	adverb_high	3	61	Linda will wear the sweater she washed tomorrow, but she won't wear her skirt.	Will Linda wear her skirt?	no	yes
local_coherence	1	and_no_comma	1	40	The customer complained about the waiter and the chef gave him a free dessert.	Did the customer get a free dessert?	yes	no
local_coherence	1	and_no_comma	1	39	The woman could not find Bill and his girlfriend became nervous and upset.	Could the woman find Bill?	no	yes
local_coherence	1	and_no_comma	1	38	Bobby yelled at the teacher and the principal asked his parents for a meeting.	Did Bobby yell at the teacher?	yes	no
local_coherence	1	and_no_comma	1	37	The teacher praised the girl and her family was proud of her good grades.	Was the girl's family proud of her grades?	yes	no
local_coherence	1	relative_high	5	16	The grandfather of the policewoman who treated himself so badly was troubled.	Was the grandfather of the policewoman troubled?	yes	no
local_coherence	1	relative_high	5	15	The nephew of the maid who cut himself with the knife called the doctor.	Did the nephew of the maid call the doctor?	yes	no
local_coherence	1	relative_high	5	14	The brother of the ballerina who found himself in a lot of trouble phoned home.	Did the ballerina phone home?	no	yes
local_coherence	1	relative_high	5	13	The son of the princess who scratched himself in public was awfully embarrassed.	Was the princess embarrassed?	no	yes
local_coherence	1	adverb_low	4	71	Bob will complete the project he started last month, but Fred won't finish his.	Will Fred finish his project?	no	yes
local_coherence	1	adverb_low	4	70	John hired the clerk he will promote next month, but he fired another employee.	Did John fire an employee?	yes	no
local_coherence	1	adverb_low	4	69	Jim painted the picture he will display next month, but he isn't happy with it.	Did Jim paint the picture?	yes	no
local_coherence	1	adverb_low	4	68	Cathy will burn the wood she gathered last week, but she will save some of it.	Will Cathy burn all the wood?	no	yes
local_coherence	1	adverb_low	4	67	Mark will answer the email he got last week, but he doesn't know what to write.	Will Mark answer the email?	yes	no
local_coherence	1	adverb_low	4	66	Chris cleaned the bookcase he will sell next week, but it is still very dusty.	Did Chris clean the bookcase?	yes	no
local_coherence	1	adverb_low	4	65	Susan bought the wine she will drink next week, but she didn't buy any cheese.	Did Susan buy any cheese?	no	yes
local_coherence	1	adverb_high	3	60	Amy will visit the man she worked with next month, but she is nervous about it.	Is Amy nervous?	yes	no
local_coherence	1	adverb_high	3	59	Paul will marry the woman he just met next month, but the wedding will be small.	Will Paul have a small wedding?	yes	no
local_coherence	1	adverb_high	3	58	Dan wrote the speech he will deliver last month, but he hasn't practiced it yet.	Has Dan practiced the speech?	no	yes
local_coherence	1	and_comma	2	48	The witness identified the man, and his wife ran away from the police station.	Did the witness run away from the police station?	no	yes
local_coherence	1	and_comma	2	47	Jenny talked to the reporter, and the photographer took pictures of the scene.	Did Jenny talk to the photographer?	no	yes
local_coherence	1	and_comma	2	46	The robber shot the jeweler, and the salesman reported the crime to the police.	Did the robber shoot the jeweler?	yes	no
local_coherence	1	and_comma	2	45	The journalist criticized Nick, and Sam called the newspaper to complain.	Did Sam call the newspaper?	yes	no
