experiment	experiment_id	condition	condition_id	item_id	text	question	response_true	response_distractors
local_coherence	1	adverb_low	4	60	Amy will visit the man she worked with last month, but she is nervous about it.	Is Amy nervous?	yes	no
local_coherence	1	adverb_low	4	59	Paul will marry the woman he just met last month, but the wedding will be small.	Will Paul have a small wedding?	yes	no
local_coherence	1	adverb_low	4	58	Dan wrote the speech he will deliver next month, but he hasn't practiced it yet.	Has Dan practiced the speech?	no	yes
local_coherence	1	adverb_low	4	57	Jeff planned the party he will hold next month, but he hasn't sent invitations.	Has Jeff sent invitations?	no	yes
local_coherence	1	and_comma	2	36	The crowd cheered for the model, and the designer took a bow after the show.	Did the designer take a bow?	yes	no
local_coherence	1	and_comma	2	35	The juggler entertained the children, and their parents drank wine at the party.	Did the juggler drink wine?	no	yes
local_coherence	1	and_comma	2	34	The woman dressed her baby, and her son got his clothes from the dresser.	Did the women dress her son?	no	yes
local_coherence	1	and_comma	2	33	Diane hugged her boyfriend, and her friend felt uncomfortable watching them.	Did Diane's friend feel uncomfortable?	yes	no
local_coherence	1	relative_low	6	12	The sister of the prince who injured himself falling off a roof was still sad.	Was the prince sad?	no	yes
local_coherence	1	relative_low	6	11	The daughter of the actor who hated himself for failing always seemed unhappy.	Was the daughter of the actor happy?	no	yes
local_coherence	1	relative_low	6	10	The sister of the salesman who made a fool of himself at work was very angry.	Was the sister of the salesman angry?	yes	no
local_coherence	1	adverb_low	4	64	Mike watered the flower he will sell tomorrow, but he forgot to water the bush.	Did Mike forget to water the flowers?	no	yes
local_coherence	1	adverb_low	4	63	Mary called the applicant she will interview tomorrow, but there was no answer.	Did the applicant answer?	no	yes
local_coherence	1	adverb_low	4	62	James will fix the car he drove yesterday, but he will need some help.	Did James drive a car?	yes	no
local_coherence	1	adverb_low	4	61	Linda will wear the sweater she washed yesterday, but she won't wear her skirt.	Will Linda wear her skirt?	no	yes
local_coherence	1	adverb_high	3	56	Lisa will change the plans she made next week, but she won't cancel any of them.	Will Lisa change her plans?	yes	no
local_coherence	1	adverb_high	3	54	Joseph brewed the beer he will serve last week, but it is not very tasty.	Will Joseph serve the beer?	yes	no
local_coherence	1	adverb_high	3	53	Jane prepared the lecture she will give last week, but still needs to review it.	Did Jane review the lecture?	no	yes
local_coherence	1	adverb_high	3	52	Sue insulted the candidate she will debate yesterday, but she wishes she hadn't.	Did Sue insult the candidate?	yes	no
local_coherence	1	adverb_high	3	50	Robert will meet the friend he phoned tomorrow, but he doesn't want to.	Does Robert want to meet his friend?	no	yes
local_coherence	1	adverb_high	3	49	Anne will serve the apples she picked tomorrow, but she won't serve the plums.	Will Anne serve the plums?	no	yes
local_coherence	1	and_comma	2	39	The woman could not find Bill, and his girlfriend became nervous and upset.	Could the woman find Bill?	no	yes
local_coherence	1	and_comma	2	38	Bobby yelled at the teacher, and the principal asked his parents for a meeting.	Did Bobby yell at the teacher?	yes	no
local_coherence	1	and_comma	2	37	The teacher praised the girl, and her family was proud of her good grades.	Was the girl's family proud of her grades?	yes	no
local_coherence	1	and_no_comma	1	32	The producer replaced the actor and the actress quit the movie after the fight.	Did the producer replace the actor?	yes	no
local_coherence	1	and_no_comma	1	30	Jim listened to the pianist and the singer watched the organist at the concert.	Did the singer listen to the pianist?	no	yes
local_coherence	1	and_no_comma	1	29	The ranger gave matches to the camper and his friend made a fire by the tent.	Did the camper make a fire?	no	yes
local_coherence	1	and_no_comma	1	28	The little girl fed her pet cat and her dog wanted a can of food, too.	Did the little girl feed her dog?	no	yes
local_coherence	1	and_no_comma	1	27	The tourist photographed the swimmer and the runner got ready for the race.	Did the tourist photograph the runner?	no	yes
local_coherence	1	and_no_comma	1	26	The swimmer disappointed her coach and her mother tried to console her.	Did the swimmer's mother try to console her?	yes	no
local_coherence	1	and_no_comma	1	25	The nurse examined the mother and the child played quietly in the corner.	Did the child play quietly?	yes	no
local_coherence	1	relative_low	6	16	The grandfather of the policewoman who treated herself so badly was troubled.	Was the grandfather of the policewoman troubled?	yes	no
local_coherence	1	relative_low	6	15	The nephew of the maid who cut herself with the knife called the doctor.	Did the nephew of the maid call the doctor?	yes	no
local_coherence	1	relative_low	6	14	The brother of the ballerina who found herself in a lot of trouble phoned home.	Did the ballerina phone home?	no	yes
local_coherence	1	relative_low	6	13	The son of the princess who scratched herself in public was awfully embarrassed.	Was the princess embarrassed?	no	yes
local_coherence	1	relative_high	5	8	The aunt of the schoolboy who hurt herself was concerned about the injury.	Was the schoolboy concerned about the injury?	no	yes
local_coherence	1	relative_high	5	7	The grandma of the fireman who criticized herself far too often was anxious.	Was the fireman anxious?	no	yes
local_coherence	1	relative_high	5	6	The grandfather of the woman who killed himself last summer had been to prison.	Had the grandfather of the woman been to prison?	yes	no
local_coherence	1	relative_high	5	5	The brother of the schoolgirl who burned himself was usually very careful.	Was the brother of the schoolgirl usually careful?	yes	no
local_coherence	1	relative_high	5	4	The son of the lady who politely introduced himself was popular at the party.	Was the lady popular at the party?	no	yes
local_coherence	1	relative_high	5	3	The uncle of the waitress who hurt himself was shocked by the accident.	Was the waitress shocked by the accident?	no	yes
