experiment,experiment_id,condition,condition_id,item_id,text,question,response_true,response_distractors,word_nr
local_coherence,1,adverb_low,4,60,Amy,Is Amy nervous?,yes,no,0
local_coherence,1,adverb_low,4,60,will,Is Amy nervous?,yes,no,1
local_coherence,1,adverb_low,4,60,visit,Is Amy nervous?,yes,no,2
local_coherence,1,adverb_low,4,60,the,Is Amy nervous?,yes,no,3
local_coherence,1,adverb_low,4,60,man,Is Amy nervous?,yes,no,4
local_coherence,1,adverb_low,4,60,she,Is Amy nervous?,yes,no,5
local_coherence,1,adverb_low,4,60,worked,Is Amy nervous?,yes,no,6
local_coherence,1,adverb_low,4,60,with,Is Amy nervous?,yes,no,7
local_coherence,1,adverb_low,4,60,last,Is Amy nervous?,yes,no,8
local_coherence,1,adverb_low,4,60,"month,",Is Amy nervous?,yes,no,9
local_coherence,1,adverb_low,4,60,but,Is Amy nervous?,yes,no,10
local_coherence,1,adverb_low,4,60,she,Is Amy nervous?,yes,no,11
local_coherence,1,adverb_low,4,60,is,Is Amy nervous?,yes,no,12
local_coherence,1,adverb_low,4,60,nervous,Is Amy nervous?,yes,no,13
local_coherence,1,adverb_low,4,60,about,Is Amy nervous?,yes,no,14
local_coherence,1,adverb_low,4,60,it.,Is Amy nervous?,yes,no,15
local_coherence,1,adverb_low,4,59,Paul,Will Paul have a small wedding?,yes,no,0
local_coherence,1,adverb_low,4,59,will,Will Paul have a small wedding?,yes,no,1
local_coherence,1,adverb_low,4,59,marry,Will Paul have a small wedding?,yes,no,2
local_coherence,1,adverb_low,4,59,the,Will Paul have a small wedding?,yes,no,3
local_coherence,1,adverb_low,4,59,woman,Will Paul have a small wedding?,yes,no,4
local_coherence,1,adverb_low,4,59,he,Will Paul have a small wedding?,yes,no,5
local_coherence,1,adverb_low,4,59,just,Will Paul have a small wedding?,yes,no,6
local_coherence,1,adverb_low,4,59,met,Will Paul have a small wedding?,yes,no,7
local_coherence,1,adverb_low,4,59,last,Will Paul have a small wedding?,yes,no,8
local_coherence,1,adverb_low,4,59,"month,",Will Paul have a small wedding?,yes,no,9
local_coherence,1,adverb_low,4,59,but,Will Paul have a small wedding?,yes,no,10
local_coherence,1,adverb_low,4,59,the,Will Paul have a small wedding?,yes,no,11
local_coherence,1,adverb_low,4,59,wedding,Will Paul have a small wedding?,yes,no,12
local_coherence,1,adverb_low,4,59,will,Will Paul have a small wedding?,yes,no,13
local_coherence,1,adverb_low,4,59,be,Will Paul have a small wedding?,yes,no,14
local_coherence,1,adverb_low,4,59,small.,Will Paul have a small wedding?,yes,no,15
local_coherence,1,adverb_low,4,58,Dan,Has Dan practiced the speech?,no,yes,0
local_coherence,1,adverb_low,4,58,wrote,Has Dan practiced the speech?,no,yes,1
local_coherence,1,adverb_low,4,58,the,Has Dan practiced the speech?,no,yes,2
local_coherence,1,adverb_low,4,58,speech,Has Dan practiced the speech?,no,yes,3
local_coherence,1,adverb_low,4,58,he,Has Dan practiced the speech?,no,yes,4
local_coherence,1,adverb_low,4,58,will,Has Dan practiced the speech?,no,yes,5
local_coherence,1,adverb_low,4,58,deliver,Has Dan practiced the speech?,no,yes,6
local_coherence,1,adverb_low,4,58,next,Has Dan practiced the speech?,no,yes,7
local_coherence,1,adverb_low,4,58,"month,",Has Dan practiced the speech?,no,yes,8
local_coherence,1,adverb_low,4,58,but,Has Dan practiced the speech?,no,yes,9
local_coherence,1,adverb_low,4,58,he,Has Dan practiced the speech?,no,yes,10
local_coherence,1,adverb_low,4,58,hasn't,Has Dan practiced the speech?,no,yes,11
local_coherence,1,adverb_low,4,58,practiced,Has Dan practiced the speech?,no,yes,12
local_coherence,1,adverb_low,4,58,it,Has Dan practiced the speech?,no,yes,13
local_coherence,1,adverb_low,4,58,yet.,Has Dan practiced the speech?,no,yes,14
local_coherence,1,adverb_low,4,57,Jeff,Has Jeff send invitations?,no,yes,0
local_coherence,1,adverb_low,4,57,planned,Has Jeff send invitations?,no,yes,1
local_coherence,1,adverb_low,4,57,the,Has Jeff send invitations?,no,yes,2
local_coherence,1,adverb_low,4,57,party,Has Jeff send invitations?,no,yes,3
local_coherence,1,adverb_low,4,57,he,Has Jeff send invitations?,no,yes,4
local_coherence,1,adverb_low,4,57,will,Has Jeff send invitations?,no,yes,5
local_coherence,1,adverb_low,4,57,hold,Has Jeff send invitations?,no,yes,6
local_coherence,1,adverb_low,4,57,next,Has Jeff send invitations?,no,yes,7
local_coherence,1,adverb_low,4,57,"month,",Has Jeff send invitations?,no,yes,8
local_coherence,1,adverb_low,4,57,but,Has Jeff send invitations?,no,yes,9
local_coherence,1,adverb_low,4,57,he,Has Jeff send invitations?,no,yes,10
local_coherence,1,adverb_low,4,57,hasn't,Has Jeff send invitations?,no,yes,11
local_coherence,1,adverb_low,4,57,sent,Has Jeff send invitations?,no,yes,12
local_coherence,1,adverb_low,4,57,invitations.,Has Jeff send invitations?,no,yes,13
local_coherence,1,and_comma,2,36,The,Did the designer take a bow?,yes,no,0
local_coherence,1,and_comma,2,36,crowd,Did the designer take a bow?,yes,no,1
local_coherence,1,and_comma,2,36,cheered,Did the designer take a bow?,yes,no,2
local_coherence,1,and_comma,2,36,for,Did the designer take a bow?,yes,no,3
local_coherence,1,and_comma,2,36,the,Did the designer take a bow?,yes,no,4
local_coherence,1,and_comma,2,36,"model,",Did the designer take a bow?,yes,no,5
local_coherence,1,and_comma,2,36,and,Did the designer take a bow?,yes,no,6
local_coherence,1,and_comma,2,36,the,Did the designer take a bow?,yes,no,7
local_coherence,1,and_comma,2,36,designer,Did the designer take a bow?,yes,no,8
local_coherence,1,and_comma,2,36,took,Did the designer take a bow?,yes,no,9
local_coherence,1,and_comma,2,36,a,Did the designer take a bow?,yes,no,10
local_coherence,1,and_comma,2,36,bow,Did the designer take a bow?,yes,no,11
local_coherence,1,and_comma,2,36,after,Did the designer take a bow?,yes,no,12
local_coherence,1,and_comma,2,36,the,Did the designer take a bow?,yes,no,13
local_coherence,1,and_comma,2,36,show.,Did the designer take a bow?,yes,no,14
local_coherence,1,and_comma,2,35,The,Did the juggler drink wine?,no,yes,0
local_coherence,1,and_comma,2,35,juggler,Did the juggler drink wine?,no,yes,1
local_coherence,1,and_comma,2,35,entertained,Did the juggler drink wine?,no,yes,2
local_coherence,1,and_comma,2,35,the,Did the juggler drink wine?,no,yes,3
local_coherence,1,and_comma,2,35,"children,",Did the juggler drink wine?,no,yes,4
local_coherence,1,and_comma,2,35,and,Did the juggler drink wine?,no,yes,5
local_coherence,1,and_comma,2,35,their,Did the juggler drink wine?,no,yes,6
local_coherence,1,and_comma,2,35,parents,Did the juggler drink wine?,no,yes,7
local_coherence,1,and_comma,2,35,drank,Did the juggler drink wine?,no,yes,8
local_coherence,1,and_comma,2,35,wine,Did the juggler drink wine?,no,yes,9
local_coherence,1,and_comma,2,35,at,Did the juggler drink wine?,no,yes,10
local_coherence,1,and_comma,2,35,the,Did the juggler drink wine?,no,yes,11
local_coherence,1,and_comma,2,35,party.,Did the juggler drink wine?,no,yes,12
local_coherence,1,and_comma,2,34,The,Did the women dress her son?,no,yes,0
local_coherence,1,and_comma,2,34,woman,Did the women dress her son?,no,yes,1
local_coherence,1,and_comma,2,34,dressed,Did the women dress her son?,no,yes,2
local_coherence,1,and_comma,2,34,her,Did the women dress her son?,no,yes,3
local_coherence,1,and_comma,2,34,"baby,",Did the women dress her son?,no,yes,4
local_coherence,1,and_comma,2,34,and,Did the women dress her son?,no,yes,5
local_coherence,1,and_comma,2,34,her,Did the women dress her son?,no,yes,6
local_coherence,1,and_comma,2,34,son,Did the women dress her son?,no,yes,7
local_coherence,1,and_comma,2,34,got,Did the women dress her son?,no,yes,8
local_coherence,1,and_comma,2,34,his,Did the women dress her son?,no,yes,9
local_coherence,1,and_comma,2,34,clothes,Did the women dress her son?,no,yes,10
local_coherence,1,and_comma,2,34,from,Did the women dress her son?,no,yes,11
local_coherence,1,and_comma,2,34,the,Did the women dress her son?,no,yes,12
local_coherence,1,and_comma,2,34,dresser.,Did the women dress her son?,no,yes,13
local_coherence,1,and_comma,2,33,Diane,Did Diane's friend feel uncomfortable?,yes,no,0
local_coherence,1,and_comma,2,33,hugged,Did Diane's friend feel uncomfortable?,yes,no,1
local_coherence,1,and_comma,2,33,her,Did Diane's friend feel uncomfortable?,yes,no,2
local_coherence,1,and_comma,2,33,"boyfriend,",Did Diane's friend feel uncomfortable?,yes,no,3
local_coherence,1,and_comma,2,33,and,Did Diane's friend feel uncomfortable?,yes,no,4
local_coherence,1,and_comma,2,33,her,Did Diane's friend feel uncomfortable?,yes,no,5
local_coherence,1,and_comma,2,33,friend,Did Diane's friend feel uncomfortable?,yes,no,6
local_coherence,1,and_comma,2,33,felt,Did Diane's friend feel uncomfortable?,yes,no,7
local_coherence,1,and_comma,2,33,uncomfortable,Did Diane's friend feel uncomfortable?,yes,no,8
local_coherence,1,and_comma,2,33,watching,Did Diane's friend feel uncomfortable?,yes,no,9
local_coherence,1,and_comma,2,33,them.,Did Diane's friend feel uncomfortable?,yes,no,10
local_coherence,1,relative_low,6,12,The,Was the prince sad?,no,yes,0
local_coherence,1,relative_low,6,12,sister,Was the prince sad?,no,yes,1
local_coherence,1,relative_low,6,12,of,Was the prince sad?,no,yes,2
local_coherence,1,relative_low,6,12,the,Was the prince sad?,no,yes,3
local_coherence,1,relative_low,6,12,prince,Was the prince sad?,no,yes,4
local_coherence,1,relative_low,6,12,who,Was the prince sad?,no,yes,5
local_coherence,1,relative_low,6,12,injured,Was the prince sad?,no,yes,6
local_coherence,1,relative_low,6,12,himself,Was the prince sad?,no,yes,7
local_coherence,1,relative_low,6,12,falling,Was the prince sad?,no,yes,8
local_coherence,1,relative_low,6,12,off,Was the prince sad?,no,yes,9
local_coherence,1,relative_low,6,12,a,Was the prince sad?,no,yes,10
local_coherence,1,relative_low,6,12,roof,Was the prince sad?,no,yes,11
local_coherence,1,relative_low,6,12,was,Was the prince sad?,no,yes,12
local_coherence,1,relative_low,6,12,still,Was the prince sad?,no,yes,13
local_coherence,1,relative_low,6,12,sad.,Was the prince sad?,no,yes,14
local_coherence,1,relative_low,6,11,The,Was the daughter of the actor happy?,no,yes,0
local_coherence,1,relative_low,6,11,daughter,Was the daughter of the actor happy?,no,yes,1
local_coherence,1,relative_low,6,11,of,Was the daughter of the actor happy?,no,yes,2
local_coherence,1,relative_low,6,11,the,Was the daughter of the actor happy?,no,yes,3
local_coherence,1,relative_low,6,11,actor,Was the daughter of the actor happy?,no,yes,4
local_coherence,1,relative_low,6,11,who,Was the daughter of the actor happy?,no,yes,5
local_coherence,1,relative_low,6,11,hated,Was the daughter of the actor happy?,no,yes,6
local_coherence,1,relative_low,6,11,himself,Was the daughter of the actor happy?,no,yes,7
local_coherence,1,relative_low,6,11,for,Was the daughter of the actor happy?,no,yes,8
local_coherence,1,relative_low,6,11,failing,Was the daughter of the actor happy?,no,yes,9
local_coherence,1,relative_low,6,11,always,Was the daughter of the actor happy?,no,yes,10
local_coherence,1,relative_low,6,11,seemed,Was the daughter of the actor happy?,no,yes,11
local_coherence,1,relative_low,6,11,unhappy.,Was the daughter of the actor happy?,no,yes,12
local_coherence,1,relative_low,6,10,The,Was the sister of the salesman angry?,yes,no,0
local_coherence,1,relative_low,6,10,sister,Was the sister of the salesman angry?,yes,no,1
local_coherence,1,relative_low,6,10,of,Was the sister of the salesman angry?,yes,no,2
local_coherence,1,relative_low,6,10,the,Was the sister of the salesman angry?,yes,no,3
local_coherence,1,relative_low,6,10,salesman,Was the sister of the salesman angry?,yes,no,4
local_coherence,1,relative_low,6,10,who,Was the sister of the salesman angry?,yes,no,5
local_coherence,1,relative_low,6,10,made,Was the sister of the salesman angry?,yes,no,6
local_coherence,1,relative_low,6,10,a,Was the sister of the salesman angry?,yes,no,7
local_coherence,1,relative_low,6,10,fool,Was the sister of the salesman angry?,yes,no,8
local_coherence,1,relative_low,6,10,of,Was the sister of the salesman angry?,yes,no,9
local_coherence,1,relative_low,6,10,himself,Was the sister of the salesman angry?,yes,no,10
local_coherence,1,relative_low,6,10,at,Was the sister of the salesman angry?,yes,no,11
local_coherence,1,relative_low,6,10,work,Was the sister of the salesman angry?,yes,no,12
local_coherence,1,relative_low,6,10,was,Was the sister of the salesman angry?,yes,no,13
local_coherence,1,relative_low,6,10,very,Was the sister of the salesman angry?,yes,no,14
local_coherence,1,relative_low,6,10,angry.,Was the sister of the salesman angry?,yes,no,15
local_coherence,1,adverb_low,4,64,Mike,Did Mike forget to water the flowers?,no,yes,0
local_coherence,1,adverb_low,4,64,watered,Did Mike forget to water the flowers?,no,yes,1
local_coherence,1,adverb_low,4,64,the,Did Mike forget to water the flowers?,no,yes,2
local_coherence,1,adverb_low,4,64,flower,Did Mike forget to water the flowers?,no,yes,3
local_coherence,1,adverb_low,4,64,he,Did Mike forget to water the flowers?,no,yes,4
local_coherence,1,adverb_low,4,64,will,Did Mike forget to water the flowers?,no,yes,5
local_coherence,1,adverb_low,4,64,sell,Did Mike forget to water the flowers?,no,yes,6
local_coherence,1,adverb_low,4,64,"tomorrow,",Did Mike forget to water the flowers?,no,yes,7
local_coherence,1,adverb_low,4,64,but,Did Mike forget to water the flowers?,no,yes,8
local_coherence,1,adverb_low,4,64,he,Did Mike forget to water the flowers?,no,yes,9
local_coherence,1,adverb_low,4,64,forgot,Did Mike forget to water the flowers?,no,yes,10
local_coherence,1,adverb_low,4,64,to,Did Mike forget to water the flowers?,no,yes,11
local_coherence,1,adverb_low,4,64,water,Did Mike forget to water the flowers?,no,yes,12
local_coherence,1,adverb_low,4,64,the,Did Mike forget to water the flowers?,no,yes,13
local_coherence,1,adverb_low,4,64,bush.,Did Mike forget to water the flowers?,no,yes,14
local_coherence,1,adverb_low,4,63,Mary,Did the applicant answer?,no,yes,0
local_coherence,1,adverb_low,4,63,called,Did the applicant answer?,no,yes,1
local_coherence,1,adverb_low,4,63,the,Did the applicant answer?,no,yes,2
local_coherence,1,adverb_low,4,63,applicant,Did the applicant answer?,no,yes,3
local_coherence,1,adverb_low,4,63,she,Did the applicant answer?,no,yes,4
local_coherence,1,adverb_low,4,63,will,Did the applicant answer?,no,yes,5
local_coherence,1,adverb_low,4,63,interview,Did the applicant answer?,no,yes,6
local_coherence,1,adverb_low,4,63,"tomorrow,",Did the applicant answer?,no,yes,7
local_coherence,1,adverb_low,4,63,but,Did the applicant answer?,no,yes,8
local_coherence,1,adverb_low,4,63,there,Did the applicant answer?,no,yes,9
local_coherence,1,adverb_low,4,63,was,Did the applicant answer?,no,yes,10
local_coherence,1,adverb_low,4,63,no,Did the applicant answer?,no,yes,11
local_coherence,1,adverb_low,4,63,answer.,Did the applicant answer?,no,yes,12
local_coherence,1,adverb_low,4,62,James,Did James drive a car?,yes,no,0
local_coherence,1,adverb_low,4,62,will,Did James drive a car?,yes,no,1
local_coherence,1,adverb_low,4,62,fix,Did James drive a car?,yes,no,2
local_coherence,1,adverb_low,4,62,the,Did James drive a car?,yes,no,3
local_coherence,1,adverb_low,4,62,car,Did James drive a car?,yes,no,4
local_coherence,1,adverb_low,4,62,he,Did James drive a car?,yes,no,5
local_coherence,1,adverb_low,4,62,drove,Did James drive a car?,yes,no,6
local_coherence,1,adverb_low,4,62,"yesterday,",Did James drive a car?,yes,no,7
local_coherence,1,adverb_low,4,62,but,Did James drive a car?,yes,no,8
local_coherence,1,adverb_low,4,62,he,Did James drive a car?,yes,no,9
local_coherence,1,adverb_low,4,62,will,Did James drive a car?,yes,no,10
local_coherence,1,adverb_low,4,62,need,Did James drive a car?,yes,no,11
