"","Text_ID","text_cased","text_uncased"
"1",1,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song.","there are now rumblings that apple might soon invade the smart watch space though the company is maintaining its customary silence the watch doesn't have a microphone or speaker but you can use it to control the music on your phone you can glance at the watch face to view the artist and title of a song"
"2",2,"Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as ""two patches of intensely bright and white light"" over the sunspots. He jotted a note in his painstaking record. That night there was scarcely a square inch of earth that was not illuminated by aurora.","two days later the british astronomer richard carrington was observing the interesting sunspot group through his telescope when he saw what he described as two patches of intensely bright and white light over the sunspots he jotted a note in his painstaking record that night there was scarcely a square inch of earth that was not illuminated by aurora"
"3",3,"I agree that California's ""three strikes and you're out"" law will be a financial disaster for taxpayers who care about education and other vital services. But it's far from clear that the law can even be credited with a reduction in crime in California. While it's true that crime declined in California last year, crime also dropped nationwide","i agree that california's three strikes and you're out law will be a financial disaster for taxpayers who care about education and other vital services but it's far from clear that the law can even be credited with a reduction in crime in california while it's true that crime declined in california last year crime also dropped nationwide"
"4",4,"Liza was in a bad temper, for she was mixing the Christmas puddings in the kitchen, and had been drawn from them, with a raisin still on her cheek, by Nana's absurd suspicions. She thought the best way of getting a little quiet was to take Nana to the nursery for a moment, but in custody of course.","liza was in a bad temper for she was mixing the christmas puddings in the kitchen and had been drawn from them with a raisin still on her cheek by nana's absurd suspicions she thought the best way of getting a little quiet was to take nana to the nursery for a moment but in custody of course"
"5",5,"Mrs. Darling quivered and went to the window. It was securely fastened. She looked out, and the night was peppered with stars. They were crowding round the house, as if curious to see what was to take place there, but she did not notice this, nor that one or two of the smaller ones winked at her.","mrs darling quivered and went to the window it was securely fastened she looked out and the night was peppered with stars they were crowding round the house as if curious to see what was to take place there but she did not notice this nor that one or two of the smaller ones winked at her"
"6",6,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea. He did not know that the crocodile was waiting for him; for we purposely stopped the clock that this knowledge might be spared him: a little mark of respect from us at the end.","seeing peter slowly advancing upon him through the air with dagger poised he sprang upon the bulwarks to cast himself into the sea he did not know that the crocodile was waiting for him for we purposely stopped the clock that this knowledge might be spared him a little mark of respect from us at the end"
"7",7,"Dorothy didn't know. She looked around her anxiously for some familiar landmark; but everything was strange. Between the branches of the many roads were green meadows and a few shrubs and trees, but she couldn't see the farm-house from which she had just come, or anything she had ever seen before, except the shaggy man and Toto.","dorothy didn't know she looked around her anxiously for some familiar landmark but everything was strange between the branches of the many roads were green meadows and a few shrubs and trees but she couldn't see the farm-house from which she had just come or anything she had ever seen before except the shaggy man and toto"
"8",8,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity. Heat reactions usually occur when large amounts of water and/or salt are lost through excessive sweating following strenuous exercise. When the body becomes overheated and cannot eliminate this excess heat, heat exhaustion and heat stroke are possible","The human body can tolerate only a small range of temperature especially when the person is engaged in vigorous activity heat reactions usually occur when large amounts of water and/or salt are lost through excessive sweating following strenuous exercise when the body becomes overheated and cannot eliminate this excess heat heat exhaustion and heat stroke are possible"
"9",9,"It was a forbidding challenge, and it says much for Winstanley's persuasive abilities, not to mention his self-confidence, that the admiralty agreed to fund him. No lighthouse had ever been built out to sea on an isolated rock before. The Eddystone is hard enough to avoid, but landing on it is a separate challenge entirely.","it was a forbidding challenge and it says much for winstanley's persuasive abilities not to mention his self-confidence that the admiralty agreed to fund him no lighthouse had ever been built out to sea on an isolated rock before the eddystone is hard enough to avoid but landing on it is a separate challenge entirely"
"10",10,"A clergyman remarked to him, ""The Lord is on our side."" I am not at all concerned about that, replied Mr. Lincoln; ""for I know that the Lord is always on the side of the right. But it is my constant anxiety and prayer that I and this nation should be on the Lord's side.""","a clergyman remarked to him the lord is on our side i am not at all concerned about that replied mr lincoln for i know that the lord is always on the side of the right but it is my constant anxiety and prayer that i and this nation should be on the lord's side"
"11",11,"Known as Rapa Nui to the island's inhabitants, Rongorongo is a writing system comprised of pictographs. It has been found carved into many oblong wooden tablets and other artifacts from the island's history. The art of writing was not known in any nearby islands and the script's mere existence is sufficient to confound anthropologists.","known as rapa nui to the island's inhabitants rongorongo is a writing system comprised of pictographs it has been found carved into many oblong wooden tablets and other artifacts from the island's history the art of writing was not known in any nearby islands and the script's mere existence is sufficient to confound anthropologists"
"12",12,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity. He walked into his bank one day and asked to withdraw his entire account balance, but with an unusual stipulation: He wanted as much of the cash as possible in one dollar notes.","some months later michael larson saw another opportunity to stack the odds in his favor with a dash of ingenuity he walked into his bank one day and asked to withdraw his entire account balance but with an unusual stipulation he wanted as much of the cash as possible in one dollar notes"
"13",13,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor. ""I don't think you're going to have a heat wave I'm not going to be able to handle,"" he said. ""Everybody treats it differently. My son Ronnie, his caddie, and I won't be riding carts","bob murphy the senior pga tour money leader with seven hundred thousand says heat shouldn't be a factor i don't think you're going to have a heat wave i'm not going to be able to handle he said everybody treats it differently my son ronnie his caddie and i won't be riding carts"
"14",14,"With schools still closed, cars still buried and streets still blocked by the widespread weekend snowstorm, officials are asking people to pick up a shovel and help out. In Boston, a ""snow angel"" campaign is using social media to encourage neighbors and friends to be an angel and help dig out the stranded","with schools still closed cars still buried and streets still blocked by the widespread weekend snowstorm officials are asking people to pick up a shovel and help out in boston a snow angel campaign is using social media to encourage neighbors and friends to be an angel and help dig out the stranded"
"15",15,"Greg Anderson, considered a key witness by the prosecution, vowed he wouldn't testify when served a subpoena last week. His lawyers said he was prepared for a third prison stay to maintain his silence. Anderson was released July 20 after a two-week stay for previously declining to testify before a different grand jury","greg anderson considered a key witness by the prosecution vowed he wouldn't testify when served a subpoena last week his lawyers said he was prepared for a third prison stay to maintain his silence anderson was released july 20 after a two-week stay for previously declining to testify before a different grand jury"
"16",16,"Steam sterilization is limited in the types of medical waste it can treat, but is appropriate for laboratory cultures and substances contaminated with infectious organisms. The waste is subjected to steam in a sealed, pressurized chamber. The liquid that may form is drained off to the sewer or sent for processing.","steam sterilization is limited in the types of medical waste it can treat but is appropriate for laboratory cultures and substances contaminated with infectious organisms the waste is subjected to steam in a sealed pressurized chamber the liquid that may form is drained off to the sewer or sent for processing"
"17",17,"Owls are more flexible than humans because a bird's head is only connected by one socket pivot. People have two, which limits our ability to twist, Forsman added. Owls also have multiple vertebrae, the small bones that make up the neck and spine, helping them achieve a wide range of motion.","owls are more flexible than humans because a bird's head is only connected by one socket pivot people have two which limits our ability to twist forsman added owls also have multiple vertebrae the small bones that make up the neck and spine helping them achieve a wide range of motion"
"18",18,"Even in the evolution same animal, not all bites are the same. A new study finds that because the force in a muscle depends on how much it is stretched, an animal's bite force depends on the size of what it is biting. The finding has direct implications for ecology and","even in the evolution same animal not all bites are the same a new study finds that because the force in a muscle depends on how much it is stretched an animal's bite force depends on the size of what it is biting the finding has direct implications for ecology and"
"19",19,"Interestingly, the heaviest isotopes physicists have managed to synthesize so far don't behave quite like science's best current models predict, so stable superheavy nuclei are likely to be full of surprises. Chemists cannot even predict with any certainty whether these materials will exist as gases, liquids, or solids at room temperature","interestingly the heaviest isotopes physicists have managed to synthesize so far don't behave quite like science's best current models predict so stable superheavy nuclei are likely to be full of surprises chemists cannot even predict with any certainty whether these materials will exist as gases liquids or solids at room temperature"
"20",20,"Buck did not like it, but he bore up well to the work, taking pride in it. It was a monotonous life, operating with machine-like regularity. One day was very like another. At a certain time each morning the cooks turned out, fires were built, and breakfast was eaten.","buck did not like it but he bore up well to the work taking pride in it it was a monotonous life operating with machine-like regularity one day was very like another at a certain time each morning the cooks turned out fires were built and breakfast was eaten"
